feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Lachnospiraceae_bacterium_5_1_63FAA	Cdiff_EIA	positive	-1.5881502926443	0.348238915408626	70	9	2.18995937475968e-05	0.00330683865588712
Anaerostipes_hadrus	Cdiff_EIA	positive	-1.59098208992016	0.388390907999015	70	8	0.000113983223819985	0.00783369732653113
Ruminococcus_sp_5_1_39BFAA	Cdiff_EIA	positive	-0.816516867657166	0.203834968894798	70	8	0.000155636370725784	0.00783369732653113
Bilophila_unclassified	Cdiff_EIA	positive	-1.59229300181548	0.458938721556045	70	19	0.00100413523617207	0.0379061051654957
Eubacterium_sp_3_1_31	Cdiff_EIA	positive	-2.79049967345305	0.866972246030855	70	17	0.00197473800340767	0.0596370877029118
Dorea_formicigenerans	Cdiff_EIA	positive	-1.27529430726409	0.404662587036096	70	8	0.00241593584241001	0.0608010520339853
Eubacterium_hallii	Cdiff_EIA	positive	-1.45296057061937	0.495133985967341	70	10	0.00455240494908504	0.098201878187406
Coprococcus_comes	Cdiff_EIA	positive	-1.2735453508365	0.448177308500861	70	8	0.00591892891282665	0.111719783229603
Ruminococcus_gnavus	Cdiff_EIA	positive	-3.20500117624792	1.21342340520126	70	44	0.0102379558752967	0.171770148574422
Fusobacterium_nucleatum	Cdiff_EIA	positive	1.95321583480711	0.777334444697913	70	14	0.0143573316729212	0.20484867281322
Lachnospiraceae_bacterium_6_1_63FAA	Cdiff_EIA	positive	-1.54335096430285	0.61789511813038	70	12	0.0149227509996386	0.20484867281322
Blautia_hydrogenotrophica	Cdiff_EIA	positive	-0.550454647344886	0.238098633639939	70	9	0.0238721799273205	0.242271181965534
Clostridium_asparagiforme	Cdiff_EIA	positive	-1.78440814316831	0.773247687512424	70	26	0.0240666737051855	0.242271181965534
Escherichia_coli	Cdiff_EIA	positive	-2.55123443956407	1.07356426494942	70	33	0.0203036871945003	0.242271181965534
Streptococcus_parasanguinis	Cdiff_EIA	positive	-2.38199143687577	1.01547855992217	70	50	0.0219160110542587	0.242271181965534
Clostridium_clostridioforme	Cdiff_EIA	positive	2.82046904270272	1.26061923544048	70	45	0.0285431068665746	0.260534615701702
Roseburia_inulinivorans	Cdiff_EIA	positive	-1.40812335173791	0.632579291167869	70	10	0.0293317117015162	0.260534615701702
Ruminococcus_torques	Cdiff_EIA	positive	-2.01298320533235	0.941877699533233	70	59	0.0361808745154547	0.303517336212981
Clostridium_difficile	Cdiff_EIA	positive	1.19838635475095	0.578487156365713	70	70	0.0421003451671645	0.317857606012092
Erysipelotrichaceae_bacterium_5_2_54FAA	Cdiff_EIA	positive	-0.715621198349923	0.344941352492073	70	8	0.041809561574881	0.317857606012092
Bacteroides_fragilis	Cdiff_EIA	positive	2.10360438334923	1.05333490538121	70	20	0.0498193786271238	0.32707505098677
Holdemania_unclassified	Cdiff_EIA	positive	-1.00320960898586	0.500554996702382	70	12	0.049085781350077	0.32707505098677
Roseburia_intestinalis	Cdiff_EIA	positive	-1.7288277535278	0.859106082930931	70	10	0.0481453879566892	0.32707505098677
Alistipes_putredinis	Cdiff_EIA	positive	1.60262800344155	0.870408018888306	70	16	0.0699489676334609	0.402252754606004
Bacteroides_finegoldii	Cdiff_EIA	positive	1.26817807828434	0.686113409136006	70	11	0.0689001901081877	0.402252754606004
Bilophila_wadsworthia	Cdiff_EIA	positive	-1.45166047975899	0.79409512717958	70	13	0.0719259892341861	0.402252754606004
Lachnospiraceae_bacterium_1_1_57FAA	Cdiff_EIA	positive	-1.18240575712523	0.646160788128182	70	18	0.071681794777527	0.402252754606004
Holdemania_filiformis	Cdiff_EIA	positive	-0.843604358979488	0.468062761086719	70	17	0.0759250486020835	0.409452940675522
Clostridium_hathewayi	Cdiff_EIA	positive	1.7294937050263	0.98232259369858	70	45	0.0828004577372586	0.431133417873312
Naumovozyma_unclassified	Cdiff_EIA	positive	-0.468489615415748	0.271836242899792	70	9	0.0893560166722406	0.449758617250278
Coprobacillus_unclassified	Cdiff_EIA	positive	-1.96062705851883	1.16881336459858	70	55	0.098045541719545	0.471339843779256
Subdoligranulum_unclassified	Cdiff_EIA	positive	1.632888842955	0.97886729311371	70	59	0.0998865894101734	0.471339843779256
Bacteroides_xylanisolvens	Cdiff_EIA	positive	1.43794883502717	0.933800755016592	70	26	0.128228418111292	0.585037850688925
Staphylococcus_epidermidis	Cdiff_EIA	positive	1.11882043826871	0.733331254547252	70	15	0.131730376976314	0.585037850688925
Rothia_mucilaginosa	Cdiff_EIA	positive	-1.25543018026046	0.851412409489832	70	34	0.144954820940335	0.625376513199732
Clostridium_scindens	Cdiff_EIA	positive	-0.972532749361968	0.681439297623355	70	21	0.158142731161956	0.628409273827774
Enterococcus_casseliflavus	Cdiff_EIA	positive	0.75701481362634	0.526642880443508	70	10	0.155180348085571	0.628409273827774
Veillonella_parvula	Cdiff_EIA	positive	1.97797798285569	1.3722077368042	70	39	0.154232777311059	0.628409273827774
Clostridiaceae_bacterium_JC118	Cdiff_EIA	positive	-0.473487416005995	0.340170232330456	70	10	0.16848477309988	0.652338480463638
Lachnospiraceae_bacterium_9_1_43BFAA	Cdiff_EIA	positive	-0.778686753093555	0.578508505215914	70	10	0.18276494083733	0.68993765166092
Bacteroides_massiliensis	Cdiff_EIA	positive	1.08094380925202	0.841819634525984	70	11	0.203480127870458	0.727383464208915
